"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2_2 - extra_val_metric_0","random_no2_2 - extra_val_metric_0__MIN","random_no2_2 - extra_val_metric_0__MAX","random_no2_2 - mean_absolute_percentage_error","random_no2_2 - mean_absolute_percentage_error__MIN","random_no2_2 - mean_absolute_percentage_error__MAX"
"195","","","","41.084346771240234","41.084346771240234","41.084346771240234","","","","35.677947998046875","35.677947998046875","35.677947998046875","","","","26.92888069152832","26.92888069152832","26.92888069152832"
"198","25.444303512573242","25.444303512573242","25.444303512573242","","","","26.682493209838867","26.682493209838867","26.682493209838867","","","","35.58636474609375","35.58636474609375","35.58636474609375","","",""
"200","","","","41.53257369995117","41.53257369995117","41.53257369995117","","","","35.895042419433594","35.895042419433594","35.895042419433594","","","","26.749540328979492","26.749540328979492","26.749540328979492"
"203","26.51302146911621","26.51302146911621","26.51302146911621","","","","27.873645782470703","27.873645782470703","27.873645782470703","","","","27.881059646606445","27.881059646606445","27.881059646606445","","",""
"205","","","","40.82320785522461","40.82320785522461","40.82320785522461","","","","36.1334228515625","36.1334228515625","36.1334228515625","","","","26.237060546875","26.237060546875","26.237060546875"
"208","25.06390380859375","25.06390380859375","25.06390380859375","","","","26.427947998046875","26.427947998046875","26.427947998046875","","","","34.912899017333984","34.912899017333984","34.912899017333984","","",""
"210","","","","41.0369758605957","41.0369758605957","41.0369758605957","","","","35.932464599609375","35.932464599609375","35.932464599609375","","","","26.223434448242188","26.223434448242188","26.223434448242188"
"213","25.324106216430664","25.324106216430664","25.324106216430664","","","","26.194374084472656","26.194374084472656","26.194374084472656","","","","45.690582275390625","45.690582275390625","45.690582275390625","","",""
"215","","","","41.40098190307617","41.40098190307617","41.40098190307617","","","","35.23482894897461","35.23482894897461","35.23482894897461","","","","26.41077995300293","26.41077995300293","26.41077995300293"
"218","26.101083755493164","26.101083755493164","26.101083755493164","","","","22.319860458374023","22.319860458374023","22.319860458374023","","","","36.681697845458984","36.681697845458984","36.681697845458984","","",""
"220","","","","40.94662094116211","40.94662094116211","40.94662094116211","","","","35.22713088989258","35.22713088989258","35.22713088989258","","","","26.341947555541992","26.341947555541992","26.341947555541992"
"223","26.373226165771484","26.373226165771484","26.373226165771484","","","","35.54027557373047","35.54027557373047","35.54027557373047","","","","35.53139114379883","35.53139114379883","35.53139114379883","","",""
"225","","","","41.552310943603516","41.552310943603516","41.552310943603516","","","","35.51863098144531","35.51863098144531","35.51863098144531","","","","26.192106246948242","26.192106246948242","26.192106246948242"
"228","26.11777114868164","26.11777114868164","26.11777114868164","","","","25.260156631469727","25.260156631469727","25.260156631469727","","","","31.783945083618164","31.783945083618164","31.783945083618164","","",""
"230","","","","40.50728225708008","40.50728225708008","40.50728225708008","","","","35.52023696899414","35.52023696899414","35.52023696899414","","","","26.02484893798828","26.02484893798828","26.02484893798828"
"233","30.047746658325195","30.047746658325195","30.047746658325195","","","","26.859947204589844","26.859947204589844","26.859947204589844","","","","32.765628814697266","32.765628814697266","32.765628814697266","","",""
"235","","","","40.93070602416992","40.93070602416992","40.93070602416992","","","","35.528076171875","35.528076171875","35.528076171875","","","","26.22321319580078","26.22321319580078","26.22321319580078"
"238","26.256349563598633","26.256349563598633","26.256349563598633","","","","25.84949493408203","25.84949493408203","25.84949493408203","","","","39.25999450683594","39.25999450683594","39.25999450683594","","",""
"240","","","","40.93943405151367","40.93943405151367","40.93943405151367","","","","36.08236312866211","36.08236312866211","36.08236312866211","","","","25.940345764160156","25.940345764160156","25.940345764160156"
"243","27.75499725341797","27.75499725341797","27.75499725341797","","","","28.137956619262695","28.137956619262695","28.137956619262695","","","","38.94983673095703","38.94983673095703","38.94983673095703","","",""
"245","","","","40.54296875","40.54296875","40.54296875","","","","35.62318801879883","35.62318801879883","35.62318801879883","","","","26.051517486572266","26.051517486572266","26.051517486572266"
"248","28.989824295043945","28.989824295043945","28.989824295043945","","","","24.707923889160156","24.707923889160156","24.707923889160156","","","","36.866580963134766","36.866580963134766","36.866580963134766","","",""
"250","","","","40.2374153137207","40.2374153137207","40.2374153137207","","","","34.821144104003906","34.821144104003906","34.821144104003906","","","","26.16266632080078","26.16266632080078","26.16266632080078"
"253","29.549055099487305","29.549055099487305","29.549055099487305","","","","29.88643455505371","29.88643455505371","29.88643455505371","","","","34.97158432006836","34.97158432006836","34.97158432006836","","",""
"255","","","","40.428470611572266","40.428470611572266","40.428470611572266","","","","34.79433822631836","34.79433822631836","34.79433822631836","","","","26.022905349731445","26.022905349731445","26.022905349731445"
"258","25.988948822021484","25.988948822021484","25.988948822021484","","","","24.49850845336914","24.49850845336914","24.49850845336914","","","","36.30442810058594","36.30442810058594","36.30442810058594","","",""
"260","","","","39.755714416503906","39.755714416503906","39.755714416503906","","","","35.53860855102539","35.53860855102539","35.53860855102539","","","","25.895465850830078","25.895465850830078","25.895465850830078"
"263","23.449798583984375","23.449798583984375","23.449798583984375","","","","26.90315055847168","26.90315055847168","26.90315055847168","","","","40.92457962036133","40.92457962036133","40.92457962036133","","",""
"265","","","","40.11439514160156","40.11439514160156","40.11439514160156","","","","35.83955383300781","35.83955383300781","35.83955383300781","","","","25.79835319519043","25.79835319519043","25.79835319519043"
"268","24.49500274658203","24.49500274658203","24.49500274658203","","","","28.872013092041016","28.872013092041016","28.872013092041016","","","","30.171478271484375","30.171478271484375","30.171478271484375","","",""
"270","","","","40.15098571777344","40.15098571777344","40.15098571777344","","","","34.66707229614258","34.66707229614258","34.66707229614258","","","","25.6528377532959","25.6528377532959","25.6528377532959"
"273","26.839393615722656","26.839393615722656","26.839393615722656","","","","32.63554382324219","32.63554382324219","32.63554382324219","","","","34.692176818847656","34.692176818847656","34.692176818847656","","",""
"275","","","","40.33823013305664","40.33823013305664","40.33823013305664","","","","34.832069396972656","34.832069396972656","34.832069396972656","","","","25.721403121948242","25.721403121948242","25.721403121948242"
"278","28.207225799560547","28.207225799560547","28.207225799560547","","","","34.024078369140625","34.024078369140625","34.024078369140625","","","","33.64876174926758","33.64876174926758","33.64876174926758","","",""
"280","","","","40.436805725097656","40.436805725097656","40.436805725097656","","","","35.17750930786133","35.17750930786133","35.17750930786133","","","","25.874515533447266","25.874515533447266","25.874515533447266"
"283","25.844926834106445","25.844926834106445","25.844926834106445","","","","28.036785125732422","28.036785125732422","28.036785125732422","","","","34.037010192871094","34.037010192871094","34.037010192871094","","",""
"285","","","","40.416194915771484","40.416194915771484","40.416194915771484","","","","35.230838775634766","35.230838775634766","35.230838775634766","","","","25.739166259765625","25.739166259765625","25.739166259765625"
"288","26.123247146606445","26.123247146606445","26.123247146606445","","","","24.696434020996094","24.696434020996094","24.696434020996094","","","","37.13029098510742","37.13029098510742","37.13029098510742","","",""
"290","","","","41.117591857910156","41.117591857910156","41.117591857910156","","","","35.142364501953125","35.142364501953125","35.142364501953125","","","","25.749557495117188","25.749557495117188","25.749557495117188"
"293","26.16368865966797","26.16368865966797","26.16368865966797","","","","27.863805770874023","27.863805770874023","27.863805770874023","","","","29.79512596130371","29.79512596130371","29.79512596130371","","",""
"295","","","","38.40095901489258","38.40095901489258","38.40095901489258","","","","32.82148361206055","32.82148361206055","32.82148361206055","","","","24.404125213623047","24.404125213623047","24.404125213623047"
