"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2 - extra_val_metric_0","random_no2 - extra_val_metric_0__MIN","random_no2 - extra_val_metric_0__MAX","random_no2 - mean_absolute_percentage_error","random_no2 - mean_absolute_percentage_error__MIN","random_no2 - mean_absolute_percentage_error__MAX"
"215","","","","41.40098190307617","41.40098190307617","41.40098190307617","","","","30.40988540649414","30.40988540649414","30.40988540649414","","","","26.41077995300293","26.41077995300293","26.41077995300293"
"218","26.101083755493164","26.101083755493164","26.101083755493164","","","","27.653400421142578","27.653400421142578","27.653400421142578","","","","36.681697845458984","36.681697845458984","36.681697845458984","","",""
"220","","","","40.94662094116211","40.94662094116211","40.94662094116211","","","","30.03258514404297","30.03258514404297","30.03258514404297","","","","26.341947555541992","26.341947555541992","26.341947555541992"
"223","26.373226165771484","26.373226165771484","26.373226165771484","","","","27.748903274536133","27.748903274536133","27.748903274536133","","","","35.53139114379883","35.53139114379883","35.53139114379883","","",""
"225","","","","41.552310943603516","41.552310943603516","41.552310943603516","","","","29.911800384521484","29.911800384521484","29.911800384521484","","","","26.192106246948242","26.192106246948242","26.192106246948242"
"228","26.11777114868164","26.11777114868164","26.11777114868164","","","","35.833465576171875","35.833465576171875","35.833465576171875","","","","31.783945083618164","31.783945083618164","31.783945083618164","","",""
"230","","","","40.50728225708008","40.50728225708008","40.50728225708008","","","","30.59199333190918","30.59199333190918","30.59199333190918","","","","26.02484893798828","26.02484893798828","26.02484893798828"
"233","30.047746658325195","30.047746658325195","30.047746658325195","","","","27.725753784179688","27.725753784179688","27.725753784179688","","","","32.765628814697266","32.765628814697266","32.765628814697266","","",""
"235","","","","40.93070602416992","40.93070602416992","40.93070602416992","","","","29.951845169067383","29.951845169067383","29.951845169067383","","","","26.22321319580078","26.22321319580078","26.22321319580078"
"238","26.256349563598633","26.256349563598633","26.256349563598633","","","","33.989112854003906","33.989112854003906","33.989112854003906","","","","39.25999450683594","39.25999450683594","39.25999450683594","","",""
