"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - val_mean_absolute_percentage_error","random_None - val_mean_absolute_percentage_error__MIN","random_None - val_mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - val_mean_absolute_percentage_error","random_seg - val_mean_absolute_percentage_error__MIN","random_seg - val_mean_absolute_percentage_error__MAX","random_no2 - extra_val_metric_0","random_no2 - extra_val_metric_0__MIN","random_no2 - extra_val_metric_0__MAX","random_no2 - val_mean_absolute_percentage_error","random_no2 - val_mean_absolute_percentage_error__MIN","random_no2 - val_mean_absolute_percentage_error__MAX"
"330","","","","37.205875396728516","37.205875396728516","37.205875396728516","","","","34.607032775878906","34.607032775878906","34.607032775878906","","","","28.73772430419922","28.73772430419922","28.73772430419922"
"333","25.223026275634766","25.223026275634766","25.223026275634766","","","","30.95167350769043","30.95167350769043","30.95167350769043","","","","36.77815628051758","36.77815628051758","36.77815628051758","","",""
"335","","","","35.98897933959961","35.98897933959961","35.98897933959961","","","","30.99942970275879","30.99942970275879","30.99942970275879","","","","27.92754554748535","27.92754554748535","27.92754554748535"
"338","25.643943786621094","25.643943786621094","25.643943786621094","","","","32.05147933959961","32.05147933959961","32.05147933959961","","","","27.838069915771484","27.838069915771484","27.838069915771484","","",""
"340","","","","37.92138671875","37.92138671875","37.92138671875","","","","34.88837814331055","34.88837814331055","34.88837814331055","","","","28.401947021484375","28.401947021484375","28.401947021484375"
"343","24.82503318786621","24.82503318786621","24.82503318786621","","","","29.6497802734375","29.6497802734375","29.6497802734375","","","","37.08472442626953","37.08472442626953","37.08472442626953","","",""
"345","","","","36.48649597167969","36.48649597167969","36.48649597167969","","","","30.838802337646484","30.838802337646484","30.838802337646484","","","","27.60881996154785","27.60881996154785","27.60881996154785"
"348","26.34750747680664","26.34750747680664","26.34750747680664","","","","32.62766647338867","32.62766647338867","32.62766647338867","","","","31.759504318237305","31.759504318237305","31.759504318237305","","",""
"350","","","","36.97602844238281","36.97602844238281","36.97602844238281","","","","34.785865783691406","34.785865783691406","34.785865783691406","","","","28.060272216796875","28.060272216796875","28.060272216796875"
"353","24.520061492919922","24.520061492919922","24.520061492919922","","","","30.98735237121582","30.98735237121582","30.98735237121582","","","","34.63188552856445","34.63188552856445","34.63188552856445","","",""
"355","","","","35.73556137084961","35.73556137084961","35.73556137084961","","","","33.80738067626953","33.80738067626953","33.80738067626953","","","","27.936969757080078","27.936969757080078","27.936969757080078"
"358","26.466480255126953","26.466480255126953","26.466480255126953","","","","31.62651252746582","31.62651252746582","31.62651252746582","","","","34.14582061767578","34.14582061767578","34.14582061767578","","",""
"360","","","","37.064693450927734","37.064693450927734","37.064693450927734","","","","35.092159271240234","35.092159271240234","35.092159271240234","","","","29.63970184326172","29.63970184326172","29.63970184326172"
"363","25.221986770629883","25.221986770629883","25.221986770629883","","","","33.74330520629883","33.74330520629883","33.74330520629883","","","","37.93317413330078","37.93317413330078","37.93317413330078","","",""
"365","","","","34.43310546875","34.43310546875","34.43310546875","","","","33.27742385864258","33.27742385864258","33.27742385864258","","","","26.49525260925293","26.49525260925293","26.49525260925293"
"368","25.5367488861084","25.5367488861084","25.5367488861084","","","","30.299530029296875","30.299530029296875","30.299530029296875","","","","32.38432312011719","32.38432312011719","32.38432312011719","","",""
"370","","","","34.01215744018555","34.01215744018555","34.01215744018555","","","","33.697452545166016","33.697452545166016","33.697452545166016","","","","26.461517333984375","26.461517333984375","26.461517333984375"
"373","26.446359634399414","26.446359634399414","26.446359634399414","","","","30.12685203552246","30.12685203552246","30.12685203552246","","","","34.108036041259766","34.108036041259766","34.108036041259766","","",""
"375","","","","39.85649871826172","39.85649871826172","39.85649871826172","","","","30.647151947021484","30.647151947021484","30.647151947021484","","","","28.06438446044922","28.06438446044922","28.06438446044922"
"378","24.847196578979492","24.847196578979492","24.847196578979492","","","","29.975852966308594","29.975852966308594","29.975852966308594","","","","35.72416687011719","35.72416687011719","35.72416687011719","","",""
